team1,team2,outcome,sd
EGY,URU,-0.7249666666666668,1.8065174626634635
POR,URU,0.42503333333333315,1.6743565080647742
ESP,URU,0.7052333333333335,1.4775175711350075
MAR,URU,-0.7053000000000003,1.8504485061173759
IRN,URU,-0.09696666666666671,1.9013036870288522
FRA,URU,0.26566666666666666,1.37743775927352
AUS,URU,-0.6922333333333338,1.8512762004828673
PER,URU,-0.6633000000000001,1.3278763995855427
DEN,URU,0.21483333333333335,1.4266280979653572
ARG,URU,0.6740333333333334,1.7361865868608297
ISL,URU,-0.3280333333333333,1.8383971540365585
CRO,URU,0.43163333333333326,1.4405976683908783
NGA,URU,-0.3720333333333334,1.9201104895076135
BRA,URU,0.5861666666666667,1.6238828182728056
SUI,URU,0.36323333333333335,1.5037250158863356
CRC,URU,-0.3723000000000001,1.9039265930787757
SRB,URU,0.09913333333333327,1.4737139867417712
GER,URU,1.1810000000000005,1.7271394201711028
SWE,URU,0.18093333333333333,1.490609220914969
MEX,URU,-0.17023333333333326,1.7899954692070552
KOR,URU,-0.17670000000000005,1.781273321519913
BEL,URU,0.38733333333333336,1.6499285086703004
PAN,URU,-0.5403333333333333,1.817545398576086
TUN,URU,-0.8848333333333334,2.061547270557221
ENG,URU,1.3429999999999993,1.8719153056698317
POL,URU,-0.009833333333333385,1.5735159461038404
SEN,URU,-0.7047666666666668,1.826234830823963
COL,URU,0.14633333333333323,1.6065327071437698
JPN,URU,-0.3594000000000001,1.868248469740944
KSA,POR,-1.4519,1.978367829433413
EGY,POR,-1.7179666666666666,2.0667032930902316
ESP,POR,0.18143333333333336,1.863733276728971
MAR,POR,-1.285933333333333,1.771977471479243
IRN,POR,-1.1641333333333337,1.8162053565408258
FRA,POR,-0.11119999999999995,1.5675504918964638
AUS,POR,-1.4500999999999995,1.9938461579745832
PER,POR,-1.0396999999999998,1.7199039198255544
DEN,POR,-0.6704333333333337,1.767087184484249
ARG,POR,0.3141666666666667,1.4945927458887378
ISL,POR,-1.199,2.190995697511808
CRO,POR,-0.7010000000000004,1.6771826226640316
NGA,POR,-1.5997999999999994,1.6853016211407232
BRA,POR,0.012333333333333325,1.7269463475669269
CRC,POR,-1.3417333333333332,1.9777369486327259
GER,POR,0.05550000000000001,2.009291840885276
MEX,POR,-0.7849333333333334,1.8547704284466138
KOR,POR,-1.2141333333333335,1.9270786069197667
BEL,POR,-0.18916666666666668,1.602723229086564
PAN,POR,-1.3224333333333331,1.9975624120585136
ENG,POR,0.1440333333333333,1.7671217507283212
POL,POR,-0.3302999999999998,1.848756470916407
COL,POR,-0.46556666666666663,1.7624369309706025
JPN,POR,-1.5874999999999995,1.867246568418944
EGY,ESP,-1.4669666666666672,2.1945065162632957
AUS,ESP,-0.8891333333333331,1.8939189811349098
DEN,ESP,-0.566066666666667,1.8049961822650868
ARG,ESP,0.5208333333333331,1.4534454779987551
CRO,ESP,-0.24126666666666666,1.8074754947764364
BRA,ESP,0.5472666666666667,1.7040942079870307
CRC,ESP,-1.046233333333333,1.9416802434151383
BEL,ESP,-0.2289000000000001,1.688691087684095
ENG,ESP,0.5341666666666662,1.9865165271126364
COL,ESP,-0.46326666666666666,1.7950904730066464
KSA,MAR,0.3955333333333335,1.5574777939353253
EGY,MAR,-0.025866666666666652,1.6810464581292146
ESP,MAR,1.0175000000000005,1.908605328138113
IRN,MAR,0.4879,1.761465520021074
FRA,MAR,0.9897999999999998,1.6656554594370463
AUS,MAR,0.549766666666667,1.55896694115848
